[60, 161, 31.69, 27.63, [[], [1550.467471160239, 1555.8274799933874, 1560.2768101010768], [], []]]
[60, 163, 30.7, 27.63, [[], [1550.4684124878574, 1555.8260757780022, 1560.2770925499167], [], []]]
[60, 165, 30.25, 27.64, [[], [1550.4692840884456, 1555.8239343547402, 1560.2794404355548], [], []]]
[60, 167, 30.27, 27.6, [[], [1550.4714419537981, 1555.8210617014558, 1560.2812260745711], [], []]]
[60, 169, 30.23, 27.6, [[], [1550.4733980582728, 1555.8186334781335, 1560.2817177326451], [], []]]
[60, 171, 30.29, 27.61, [[], [1550.4758734212578, 1555.8160883638063, 1560.2829181632585], [], []]]
[60, 173, 30.29, 27.67, [[], [1550.4767450311522, 1555.817001092014, 1560.2855308887097], [], []]]
[65, 135, 30.32, 27.64, [[], [1550.4771808356395, 1555.8184755048312, 1560.2751330388069], [], []]]
[65, 137, 30.27, 27.59, [[], [1550.4779934728308, 1555.8198935226376, 1560.274798747071], [], []]]
[65, 139, 30.38, 27.67, [[], [1550.4780001488864, 1555.8222141966496, 1560.2752389372286], [], []]]
[65, 141, 30.41, 27.66, [[], [1550.4776863687946, 1555.8254087780338, 1560.2771984422004], [], []]]
[65, 143, 30.62, 27.6, [[], [1550.4769015488307, 1555.8285861898207, 1560.2766647269627], [], []]]
[65, 145, 30.93, 27.59, [[], [1550.476935671177, 1555.8311287285526, 1560.2779951088798], [], []]]
[65, 147, 31.23, 27.6, [[], [1550.4764835471474, 1555.8338867636178, 1560.2792638809292], [], []]]
[65, 149, 31.45, 27.63, [[], [1550.4755945065458, 1555.8372569195897, 1560.278999101718], [], []]]
[65, 151, 31.65, 27.66, [[], [1550.4754376167882, 1555.838942003643, 1560.2800936137332], [], []]]
[65, 153, 32.0, 27.6, [[], [1550.4751612982964, 1555.8414879349646, 1560.2821935886057], [], []]]
[65, 155, 32.14, 27.63, [[], [1550.4751271759503, 1555.844185131727, 1560.282521888788], [], []]]
[65, 157, 32.11, 27.67, [[], [1550.4746153386968, 1555.8455251432642, 1560.284111454929], [], []]]
[65, 159, 31.97, 27.56, [[], [1550.474478849013, 1555.8473805477681, 1560.2857010116986], [], []]]
[65, 161, 31.88, 27.6, [[], [1550.4751271764799, 1555.8488408230949, 1560.2875842771937], [], []]]
[65, 163, 31.86, 27.61, [[], [1550.474827491207, 1555.8498424765876, 1560.2882671550706], [], []]]
[65, 165, 31.81, 27.64, [[], [1550.47486235556, 1555.8501057740293, 1560.2893616885478], [], []]]
[65, 167, 31.79, 27.54, [[], [1550.4750192452987, 1555.8503339659153, 1560.2910564456752], [], []]]
[65, 169, 31.98, 27.59, [[], [1550.4758437500868, 1555.8500090460268, 1560.2928022426865], [], []]]
[65, 171, 32.0, 27.54, [[], [1550.476219097287, 1555.850919571826, 1560.2939080556862], [], []]]
[65, 173, 31.48, 27.48, [[], [1550.4764238331982, 1555.8508164932966, 1560.2961369301854], [], []]]
[70, 135, 30.81, 27.51, [[], [1550.4768496236509, 1555.849719604798, 1560.2821413941167], [], []]]
[70, 137, 30.55, 27.56, [[], [1550.4775120471047, 1555.8490174759354, 1560.2821237350906], [], []]]
[70, 139, 30.59, 27.53, [[], [1550.4777560978418, 1555.848174922677, 1560.281929541009], [], []]]
[70, 141, 30.73, 27.51, [[], [1550.477808394957, 1555.8476483293227, 1560.28300639185], [], []]]
[70, 143, 30.95, 27.53, [[], [1550.4783662258405, 1555.8467706702704, 1560.2824767918253], [], []]]
[70, 145, 31.14, 27.51, [[], [1550.4781570396535, 1555.846682904639, 1560.2833065180714], [], []]]
[70, 147, 31.27, 27.51, [[], [1550.4787271098603, 1555.846177971215, 1560.2835239726273], [], []]]
[70, 149, 31.31, 27.54, [[], [1550.4791195207831, 1555.8456969406045, 1560.2846988607787], [], []]]
[70, 151, 31.33, 27.54, [[], [1550.4796996080765, 1555.8443053909527, 1560.2845088209665], [], []]]
[70, 153, 31.32, 27.59, [[], [1550.4798019762443, 1555.8447177013259, 1560.2857182843718], [], []]]
[70, 155, 31.32, 27.54, [[], [1550.4796996071598, 1555.8446146229928, 1560.286789495536], [], []]]
[70, 157, 31.31, 27.51, [[], [1550.479673644063, 1555.8447169565634, 1560.2876316037589], [], []]]
[70, 159, 31.19, 27.54, [[], [1550.4801432022628, 1555.843669744287, 1560.2877397806349], [], []]]
[70, 161, 31.39, 27.57, [[], [1550.4805014914398, 1555.843618206726, 1560.2890010795038], [], []]]
[70, 163, 31.69, 27.53, [[], [1550.4807062283926, 1555.8427935848747, 1560.2901759727802], [], []]]
[70, 165, 31.72, 27.48, [[], [1550.4811157006554, 1555.8426389689807, 1560.2915409246634], [], []]]
[70, 167, 31.64, 27.47, [[], [1550.4810507936395, 1555.8425930318888, 1560.2928924002028], [], []]]
[70, 169, 31.66, 27.51, [[], [1550.4805014917922, 1555.8440305175795, 1560.2933205859365], [], []]]
[70, 171, 31.59, 27.44, [[], [1550.480876470705, 1555.8438041935024, 1560.293775080703], [], []]]
[70, 173, 31.26, 27.51, [[], [1550.4814228069579, 1555.8434120497566, 1560.2961541935783], [], []]]
[75, 135, 30.38, 27.51, [[], [1550.4812251164476, 1555.8426807975202, 1560.2809056433755], [], []]]
[75, 137, 29.93, 27.54, [[], [1550.481329711236, 1555.842241970308, 1560.2815058563851], [], []]]
[75, 139, 29.83, 27.47, [[], [1550.4819049759465, 1555.8419084631194, 1560.2807290981402], [], []]]
[75, 141, 30.0, 27.5, [[], [1550.4816616666976, 1555.8418830666199, 1560.2816752499418], [], []]]
