[45, 141, 29.97, 27.2, [[], [1550.4612479666237, 1555.858559455468, 1560.275175345594], [], []], [[], [1550.4594838663852, 1555.8520998473805, 1560.2760686180839], [], []]]
[45, 144, 29.94, 27.22, [[], [1550.4610252265043, 1555.858388993248, 1560.2750309817836], [], []], [[], [1550.4594036811534, 1555.850888683923, 1560.2813469748464], [], []]]
[45, 147, 29.93, 27.23, [[], [1550.4606064750628, 1555.8583172183678, 1560.274931731257], [], []], [[], [1550.4595640531934, 1555.8530687806106, 1560.2764746548833], [], []]]
[45, 150, 30.0, 27.32, [[], [1550.4603659159657, 1555.8585594547135, 1560.275256550486], [], []], [[], [1550.4601253574488, 1555.8516153965636, 1560.2781799583713], [], []]]
[45, 153, 30.12, 27.14, [[], [1550.460686661539, 1555.8583979627826, 1560.2754189601847], [], []], [[], [1550.4596442392553, 1555.8504042003362, 1560.2858133223367], [], []]]
[45, 156, 30.38, 27.22, [[], [1550.460686661456, 1555.8584787106338, 1560.275418960354], [], []], [[], [1550.4589225626273, 1555.8500812168097, 1560.281996599949], [], []]]
[45, 159, 30.74, 27.2, [[], [1550.4600451703095, 1555.859124674334, 1560.2753377556314], [], []], [[], [1550.4590027491035, 1555.8527458132596, 1560.280128904175], [], []]]
[45, 162, 31.05, 27.2, [[], [1550.4603659158827, 1555.8572675236253, 1560.2750941408715], [], []], [[], [1550.459243307786, 1555.8518575944406, 1560.2834583316173], [], []]]
[45, 165, 31.15, 27.28, [[], [1550.4606064750628, 1555.8581557268558, 1560.2746881171736], [], []], [[], [1550.459964985243, 1555.849919729321, 1560.2816718265337], [], []]]
[45, 168, 31.15, 27.28, [[], [1550.4602857294894, 1555.8565408146721, 1560.2753377553777], [], []], [[], [1550.459403681485, 1555.8542799718934, 1560.2822402510558], [], []]]
[45, 171, 31.2, 27.23, [[], [1550.4605262887521, 1555.857267524296, 1560.275581369715], [], []], [[], [1550.4595640536083, 1555.851534630861, 1560.2878435021928], [], []]]
[45, 174, 31.35, 27.22, [[], [1550.460686661539, 1555.857267525134, 1560.275337755293], [], []], [[], [1550.4591631212268, 1555.8531495247744, 1560.2863005858355], [], []]]
[50, 135, 31.59, 27.26, [[], [1550.459964983999, 1555.8577519973223, 1560.275581369884], [], []], [[], [1550.459243307786, 1555.8488700519276, 1560.2866254103892], [], []]]
